Company,Exchange:Ticker,Industry ,Country,Broad Group,Sub Group,Bottom up Beta for sector,Bottom up levered beta,ERP for Country,Cost of equity in US$,Total Default Spread for cost of debt (Company + Country),Pre-tax cost of debt in US $,After-tax cost of debt in US $,Cost of capital in US$,ROE - Cost of Equity,ROIC - Cost of Capital,Marketcapital,PV of lease debt,Total Debt,Total Debt incl leases (in US $),Firm Value (in US $),Cash,Enterprise Value (in US $),Cash/ Firm Value,Liquidity Ratio (Daily trading volume/Shrs outs),Book Debt to capital ratio,MDC,Book Debt to Equity Ratio,Market Debt to Equity ratio,"Stock price (Dec 31, 2012)in US$",Beta,Correlation with market,Standard deviation in stock price,HiL0 Risk Measure (Hi- lo)/ (Hi+Lo),Interest coverage ratio,Current PE,Trailing PE,Forward PE,PEG,PBV,PS,EV/EBIT,EV/EBITDA,EV/Invested Capital,EV/Sales,Payout ratio,Dividend Yield,Historical growth in Net Income - Last 3 years,Historical growth in Net Income - Last 5 years,Historical growth in Revenues - Last 3 years,Historical growth in Revenues - Last 5 years,Expected growth rate in EPS- Next 5 years,Expected growth in revenues - Next 2 years,roe,Return on Capital (ROC or ROIC),npm,Pre-tax Operating Margin,Effective Tax Rate,% held by institutions,Net Income,Trailing Net Income,Operating Income,Trailing Operating Income (adj for leases),Revenues,Trailing Revenues,EBITDA,Trailing EBITDA,EBIT (1-t),Net Debt issued (Debt issue - repaid),Change in non-cash Working capital,Net Cap Ex,Reinvestment Rate,FCFF,FCFE,FCFE without debt,Book Value of Equity - 4 qtrs ago,Invested Capital - 4 qtre ago,Current Book Value of Equity,Current Invested Capital,Dividends,Modified 2-year beta,Modified 5-year beta,Beta adjustment factor,Coeff of variation - Op Income,Coeff of variation - Net Income,Average 10-year EBIT,Average 10-yr Net Income,Dividends + Buybacks,CRP,Country Marginal tax rate
CalciTech Ltd. (OTCPK:CLKT.F),OTCPK:CLKT.F,Chemical (Specialty),Switzerland,Developed Europe,EU & Environs,0.877,0.877,#REF!,#REF!,2.50%,#REF!,#REF!,#REF!,#REF!,#REF!,$0.50 ,$0.00 ,$0.00 ,$0.00 ,$0.50 ,$0.00 ,$0.50 ,0.00%,0,NA,0.00%,NA,0.00%,$0.00 ,NA,NA,NA,0.79,NA,NA,NA,NA,NA,NA,5.23,NA,NA,NA,5.23,NA,0.00%,NA,NA,NA,10.60%,NA,NA,-32.20%,-17.56%,-761.46%,-725.00%,0.00%,0.02%,($0.73),($0.73),($0.74),($0.70),$0.10 ,$0.10 ,($0.69),($0.69),($0.70),($0.48),($0.22),$0.58 ,NA,($1.06),($0.61),($1.09),$2.27 ,$3.96 ,$0.00 ,$0.00 ,$0.00 ,NA,NA,0.5,0.05,0.04,($1.03),($1.35),$0.00 ,0.00%,21%
Resource Finance & Investment Ltd. (OTCPK:RFIV.F),OTCPK:RFIV.F,Metals & Mining,Switzerland,Developed Europe,EU & Environs,1.0289,1.0289,#REF!,#REF!,2.50%,#REF!,#REF!,#REF!,NA,NA,$0.39 ,$0.00 ,$0.00 ,$0.00 ,$0.39 ,$0.00 ,$0.39 ,0.00%,0,NA,0.00%,NA,0.00%,$0.01 ,NA,NA,NA,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,NA,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,NA,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,NA,NA,0.5,0.07,0.08,($0.38),($0.37),$0.00 ,0.00%,21%
TTL Information Technology AG (DB:TTO),DB:TTO,Computer Services,Germany,Developed Europe,EU & Environs,0.8659,0.8659,#REF!,#REF!,2.50%,#REF!,#REF!,#REF!,#REF!,#REF!,$1.44 ,$0.00 ,$0.00 ,$0.00 ,$1.44 ,$0.00 ,$1.44 ,0.00%,0,NA,0.00%,NA,0.00%,$0.22 ,NA,NA,NA,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,NA,NA,NA,NA,NA,NA,-1.76%,-1.47%,NA,NA,0.00%,6.61%,($0.28),($0.28),($0.21),($0.21),$0.00 ,$0.00 ,$0.00 ,$0.00 ,($0.21),($0.07),$0.03 ,$0.00 ,NA,($0.24),($0.25),($0.31),$16.00 ,$14.33 ,$0.00 ,$0.00 ,$0.00 ,NA,NA,0.5,0.15,0.13,$0.13 ,($2.60),$0.00 ,0.00%,21%
Norda ASA (OTCNO:NORD),OTCNO:NORD,Biotechnology,Norway,Developed Europe,EU & Environs,1.0292,2.2598,#REF!,#REF!,2.50%,#REF!,#REF!,#REF!,#REF!,#REF!,$3.90 ,$0.34 ,$4.32 ,$4.66 ,$8.56 ,$0.12 ,$8.44 ,1.44%,0,49.70%,54.46%,98.79%,119.57%,$0.99 ,0.28,6.32%,NA,0.25,NA,2.14,1.27,NA,NA,0.83,33.62,NA,NA,0.91,72.76,0.00%,0.00%,NA,NA,-81.40%,-52.30%,NA,NA,197.42%,-32.00%,4135.14%,-1822.44%,0.00%,13.71%,$1.82 ,$3.06 ,($1.28),($1.35),$0.12 ,$0.07 ,($1.26),($1.27),($1.35),($4.29),$0.00 ,($2.13),NA,$0.78 ,$9.48 ,$5.19 ,$1.55 ,$4.21 ,$4.72 ,$9.26 ,$0.00 ,-0.41,1.25,0.5,NA,NA,NA,NA,$0.00 ,0.00%,21%
Ross Group plc (LSE:RGP),LSE:RGP,Retail (Distributors),United Kingdom,Developed Europe,UK,0.5693,2.8491,#REF!,#REF!,4.40%,#REF!,#REF!,#REF!,NA,NA,$2.38 ,$0.00 ,$9.53 ,$9.53 ,$11.91 ,$0.00 ,$11.91 ,0.03%,0,NA,80.02%,NA,400.42%,$0.01 ,0.31,3.16%,143.09%,0.07,NA,NA,NA,NA,NA,NA,13.08,NA,NA,NA,65.42,NA,0.00%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,13.50%,($0.26),($0.31),($0.30),($0.30),$0.18 ,$0.00 ,$0.00 ,$0.00 ,($0.30),$0.02 ,($0.31),$0.00 ,NA,$0.00 ,($0.02),$0.00 ,($9.87),($0.04),($9.87),($0.34),$0.00 ,0.18,0.11,0.5,0.13,0.11,($0.46),($0.84),$0.00 ,0.60%,30%
Compagnie Marocaine (ENXTPA:CIEM),ENXTPA:CIEM,Diversified,France,Developed Europe,EU & Environs,0.595,0.595,#REF!,#REF!,2.90%,#REF!,#REF!,#REF!,#REF!,#REF!,$2.35 ,$0.00 ,$0.00 ,$0.00 ,$2.35 ,$0.04 ,$2.31 ,1.53%,NA,0.00%,0.00%,0.00%,0.00%,$10.48 ,-0.16,3.16%,NA,0.23,NA,NA,NA,NA,NA,0.82,NA,NA,NA,0.82,NA,NA,0.00%,NA,NA,NA,NA,NA,NA,-3.00%,-3.72%,NA,NA,0.00%,NA,($0.04),($0.09),($0.11),($0.11),$0.00 ,$0.00 ,($0.10),($0.10),($0.11),$0.00 ,$0.00 ,$0.00 ,NA,($0.10),($0.08),($0.08),$2.87 ,$2.82 ,$2.86 ,$2.82 ,$0.00 ,-0.12,0,0.5,0.05,0.19,($0.25),$0.80 ,$0.00 ,0.60%,21%
Financi¨¨re Marjos SA (ENXTPA:FINM),ENXTPA:FINM,Apparel,France,Developed Europe,EU & Environs,0.8237,0.8237,#REF!,#REF!,2.90%,#REF!,#REF!,#REF!,NA,NA,$1.18 ,$0.00 ,$0.00 ,$0.00 ,$1.18 ,$0.00 ,$1.18 ,0.00%,0.01,NA,0.00%,NA,0.00%,$0.54 ,0.17,49.90%,NA,0.77,0.1,NA,0.92,NA,NA,NA,NA,4.86,NA,NA,NA,0.00%,0.00%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,NA,($0.70),$1.28 ,$0.07 ,$0.24 ,$0.00 ,$0.00 ,($0.24),$0.00 ,$0.24 ,$0.00 ,$0.00 ,$0.00 ,-0.41%,$0.24 ,$1.28 ,$1.28 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,-0.37,NA,0.5,0.3,0.3,($3.61),($5.76),$0.00 ,0.60%,21%
Pongs & Zahn AG (DB:PUZ),DB:PUZ,Chemical (Basic),Germany,Developed Europe,EU & Environs,0.9245,0.9245,#REF!,#REF!,2.50%,#REF!,#REF!,#REF!,#REF!,#REF!,$0.34 ,$0.00 ,$0.00 ,$0.00 ,$0.34 ,$0.00 ,$0.34 ,0.00%,0,NA,0.00%,NA,0.00%,$0.06 ,NA,NA,NA,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,NA,NA,NA,NA,NA,NA,0.00%,0.00%,NA,NA,0.00%,NA,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,NA,$0.00 ,$0.00 ,$0.00 ,$16.60 ,$92.12 ,$0.00 ,$0.00 ,$0.00 ,NA,NA,0.5,0.26,0.22,($9.01),($9.49),$0.00 ,0.00%,21%
Ralos New Energies AG (BST:BGH),BST:BGH,Engineering,Germany,Developed Europe,EU & Environs,0.8572,0.8572,#REF!,#REF!,2.50%,#REF!,#REF!,#REF!,NA,NA,$0.12 ,$0.00 ,$0.00 ,$0.00 ,$0.12 ,$0.00 ,$0.12 ,0.00%,0,NA,0.00%,NA,0.00%,$0.02 ,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,NA,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,NA,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,NA,NA,0.5,0.26,0.22,($1.37),($2.73),$0.00 ,0.00%,21%
PROGEO Holding AG (BST:POO),BST:POO,Electronics,Germany,Developed Europe,EU & Environs,1.0714,1.0714,#REF!,#REF!,2.50%,#REF!,#REF!,#REF!,NA,NA,$1.39 ,$0.00 ,$0.00 ,$0.00 ,$1.39 ,$0.00 ,$1.39 ,0.00%,0,NA,0.00%,NA,0.00%,$0.42 ,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,0.49,NA,NA,NA,0.49,NA,0.00%,NA,NA,6.72%,29.10%,NA,NA,NA,NA,-16.68%,-15.76%,0.00%,NA,($0.47),($0.47),($0.45),($0.45),$2.83 ,$2.83 ,($0.17),($0.17),($0.45),$0.07 ,($0.30),($0.22),NA,$0.08 ,($0.02),$0.05 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,NA,NA,0.5,0.13,0.12,($0.32),($0.34),$0.00 ,0.00%,21%
Porta Systems AG (DB:PFTA),DB:PFTA,Building Materials,Germany,Developed Europe,EU & Environs,0.8065,0.8065,#REF!,#REF!,4.00%,#REF!,#REF!,#REF!,#REF!,#REF!,$0.77 ,$0.00 ,$0.00 ,$0.00 ,$0.77 ,$0.00 ,$0.77 ,0.13%,0,0.00%,0.00%,0.00%,0.00%,$1.48 ,0.72,10.00%,150.00%,0.47,NA,NA,NA,NA,NA,1.51,NA,NA,NA,1.51,NA,NA,0.00%,NA,NA,NA,NA,NA,NA,-23.28%,-7.95%,NA,NA,0.00%,NA,($0.14),($0.15),($0.04),($0.04),$0.00 ,$0.00 ,$0.00 ,$0.00 ,($0.04),$0.00 ,$0.00 ,$0.00 ,NA,($0.04),($0.15),($0.15),$0.64 ,$0.53 ,$0.51 ,$0.51 ,$0.00 ,0.73,-0.39,0.5,0.28,0.21,$0.41 ,($0.94),$0.00 ,0.00%,21%
Softmatic AG (DB:SFP1),DB:SFP1,Computer Software,Germany,Developed Europe,EU & Environs,1.0246,1.0246,#REF!,#REF!,2.50%,#REF!,#REF!,#REF!,#REF!,#REF!,$0.07 ,$0.00 ,$0.00 ,$0.00 ,$0.07 ,$0.01 ,$0.07 ,7.14%,NA,0.00%,0.00%,0.00%,0.00%,$0.79 ,-0.55,15.81%,NA,0.5,NA,NA,NA,NA,NA,5.83,NA,NA,NA,9.29,NA,NA,0.00%,NA,NA,NA,NA,NA,NA,-28.57%,-40.00%,NA,NA,0.00%,7.93%,($0.01),$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,NA,$0.00 ,$0.00 ,$0.00 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.00 ,NA,-0.9,0.5,NA,NA,NA,NA,$0.00 ,0.00%,21%
Aureum Realwert AG (DB:TRH1),DB:TRH1,Investment Co.,Germany,Developed Europe,EU & Environs,0.5825,0.5825,#REF!,#REF!,2.50%,#REF!,#REF!,#REF!,#REF!,#REF!,$1.12 ,$0.00 ,$0.00 ,$0.00 ,$1.12 ,$0.00 ,$1.12 ,0.00%,0,NA,0.00%,NA,0.00%,$1.12 ,NA,NA,NA,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,NA,NA,NA,NA,NA,NA,0.00%,0.00%,NA,NA,0.00%,NA,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,NA,$0.00 ,$0.00 ,$0.00 ,$2.99 ,$1.22 ,$0.00 ,$0.00 ,$0.00 ,NA,NA,0.5,0.31,0.3,($0.32),($0.31),$0.00 ,0.00%,21%
Unylon AG (BST:UYN),BST:UYN,Chemical (Basic),Germany,Developed Europe,EU & Environs,0.9245,0.9245,#REF!,#REF!,2.50%,#REF!,#REF!,#REF!,NA,NA,$0.24 ,$0.00 ,$0.00 ,$0.00 ,$0.24 ,$0.00 ,$0.24 ,0.00%,0,NA,0.00%,NA,0.00%,$0.02 ,NA,NA,NA,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,NA,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,NA,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,NA,NA,0.5,0.19,0.29,$1.15 ,($5.66),$0.00 ,0.00%,21%
Br¨¹der Mannesmann Aktiengesellschaft (DB:BMM),DB:BMM,Retail (Distributors),Germany,Developed Europe,EU & Environs,0.5693,2.8945,#REF!,#REF!,2.50%,#REF!,#REF!,#REF!,#REF!,#REF!,$3.22 ,$0.00 ,$26.30 ,$26.30 ,$29.52 ,$7.25 ,$22.27 ,24.56%,0,83.07%,89.09%,490.67%,816.77%,$1.07 ,NA,NA,NA,0.23,0.19,17.79,17.79,NA,NA,0.6,0.03,24.26,13.1,0.93,0.24,0.00%,0.00%,28.90%,1.86%,4.83%,-4.56%,NA,NA,3.55%,2.62%,0.19%,0.97%,50.00%,NA,$0.18 ,$0.18 ,$0.92 ,$0.92 ,$94.70 ,$94.70 ,$1.70 ,$1.70 ,$0.46 ,$1.11 ,$7.50 ,($3.28),919.61%,($3.76),($5.15),($4.04),$5.10 ,$35.06 ,$5.36 ,$23.90 ,$0.00 ,NA,NA,0.5,0.04,0.12,$2.78 ,($0.22),$0.00 ,0.00%,21%
VDN Vereinigte Deutsche Nickel-Werke Aktiengesellschaft (DB:VDN),DB:VDN,Metals & Mining,Germany,Developed Europe,EU & Environs,1.0289,1.0289,#REF!,#REF!,2.50%,#REF!,#REF!,#REF!,#REF!,#REF!,$0.29 ,$0.00 ,$0.00 ,$0.00 ,$0.29 ,$0.00 ,$0.29 ,0.00%,0,NA,0.00%,NA,0.00%,$0.02 ,NA,NA,NA,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,NA,NA,NA,NA,NA,NA,0.00%,0.00%,NA,NA,0.00%,1.77%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,NA,$0.00 ,$0.00 ,$0.00 ,$166.40 ,$253.00 ,$0.00 ,$0.00 ,$0.00 ,NA,NA,0.5,NA,NA,NA,NA,$0.00 ,0.00%,21%
EAG-Beteiligungs AG (WBAG:EAGB),WBAG:EAGB,Auto Parts,Austria,Developed Europe,EU & Environs,1.1136,1.1136,#REF!,#REF!,2.50%,#REF!,#REF!,#REF!,#REF!,#REF!,$4.56 ,$0.00 ,$0.00 ,$0.00 ,$4.56 ,$0.00 ,$4.56 ,0.00%,NA,NA,0.00%,NA,0.00%,$3.17 ,NA,NA,NA,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,NA,NA,NA,NA,NA,NA,0.00%,0.00%,NA,NA,0.00%,10.14%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,NA,$0.00 ,$0.00 ,$0.00 ,$61.20 ,$196.40 ,$0.00 ,$0.00 ,$0.00 ,NA,NA,0.5,0.14,0.23,$9.77 ,$3.49 ,$0.00 ,0.00%,21%
RINOL GmbH (DB:RILB),DB:RILB,Construction,Germany,Developed Europe,EU & Environs,0.6767,0.6767,#REF!,#REF!,2.50%,#REF!,#REF!,#REF!,#REF!,#REF!,$0.04 ,$0.00 ,$0.00 ,$0.00 ,$0.04 ,$0.00 ,$0.04 ,0.00%,0,NA,0.00%,NA,0.00%,$0.03 ,NA,NA,NA,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,NA,NA,NA,NA,NA,NA,0.00%,0.00%,NA,NA,0.00%,NA,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,NA,$0.00 ,$0.00 ,$0.00 ,$0.01 ,$77.82 ,$0.00 ,$0.00 ,$0.00 ,NA,NA,0.5,0.22,0.17,($21.50),($51.85),$0.00 ,0.00%,21%
Fr?hlich Bau AG (DB:FRO),DB:FRO,Engineering,Germany,Developed Europe,EU & Environs,0.8572,0.8572,#REF!,#REF!,2.50%,#REF!,#REF!,#REF!,NA,NA,$4.05 ,$0.00 ,$0.00 ,$0.00 ,$4.05 ,$0.00 ,$4.05 ,0.00%,0,NA,0.00%,NA,0.00%,$0.30 ,NA,NA,NA,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,NA,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,NA,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,NA,NA,0.5,NA,NA,NA,NA,$0.00 ,0.00%,21%
Babcock-BSH AG (DB:BTT),DB:BTT,Machinery,Germany,Developed Europe,EU & Environs,1.014,1.014,#REF!,#REF!,2.50%,#REF!,#REF!,#REF!,NA,NA,$0.26 ,$0.00 ,$0.00 ,$0.00 ,$0.26 ,$0.00 ,$0.26 ,0.00%,0,NA,0.00%,NA,0.00%,$0.02 ,NA,NA,NA,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,NA,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,NA,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,NA,NA,0.5,NA,NA,NA,NA,$0.00 ,0.00%,21%
Euroland Corporate (ENXTPA:MLERO),ENXTPA:MLERO,Financial Svcs. (Non-bank & Insurance),France,Developed Europe,EU & Environs,0.2804,0.2804,#REF!,#REF!,2.90%,#REF!,#REF!,#REF!,NA,NA,$0.57 ,$0.00 ,$0.00 ,$0.00 ,$0.57 ,$0.00 ,$0.57 ,0.00%,0,NA,0.00%,NA,0.00%,$0.18 ,NA,NA,NA,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,3.81%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,NA,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,NA,NA,0.5,NA,#DIV/0!,NA,($0.17),$0.00 ,0.60%,21%
Fritz Nols AG (DB:FNG),DB:FNG,Brokerage & Investment Banking,Germany,Developed Europe,EU & Environs,0.3452,0.3452,#REF!,#REF!,2.50%,#REF!,#REF!,#REF!,#REF!,#REF!,$0.93 ,$0.00 ,$0.00 ,$0.00 ,$0.93 ,$0.00 ,$0.93 ,0.00%,0,NA,0.00%,NA,0.00%,$0.66 ,NA,NA,NA,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,NA,NA,NA,NA,NA,NA,0.00%,0.00%,NA,NA,0.00%,8.53%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,NA,$0.00 ,$0.00 ,$0.00 ,$18.40 ,$18.13 ,$0.00 ,$0.00 ,$0.00 ,NA,NA,0.5,NA,NA,NA,NA,$0.00 ,0.00%,21%
Enalyzer A/S (CPSE:ENALYZ),CPSE:ENALYZ,Computer Software,Denmark,Developed Europe,EU & Environs,1.0246,1.0246,#REF!,#REF!,2.50%,#REF!,#REF!,#REF!,NA,NA,$3.30 ,$0.00 ,$0.00 ,$0.00 ,$3.30 ,$0.00 ,$3.30 ,0.00%,0,NA,0.00%,NA,0.00%,$0.86 ,NA,NA,NA,0.23,3.92,19.3,19.3,NA,NA,NA,0.71,14.29,4.42,NA,0.71,0.00%,0.00%,NA,NA,9.92%,-5.01%,NA,NA,NA,NA,3.66%,4.95%,2.84%,NA,$0.17 ,$0.17 ,$0.23 ,$0.23 ,$4.67 ,$4.67 ,$0.75 ,$0.75 ,$0.22 ,($0.17),$0.26 ,$0.42 ,302.53%,($0.45),($0.34),($0.51),$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,NA,NA,0.5,NA,NA,NA,NA,$0.00 ,0.00%,21%
YMOS AG (DB:YMO),DB:YMO,Real Estate (Operations & Services),Germany,Developed Europe,EU & Environs,0.5519,0.5519,#REF!,#REF!,2.50%,#REF!,#REF!,#REF!,NA,NA,$0.79 ,$0.00 ,$0.00 ,$0.00 ,$0.79 ,$0.00 ,$0.79 ,0.00%,0,NA,0.00%,NA,0.00%,$0.03 ,NA,NA,NA,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,NA,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,NA,$0.00 ,$0.00 ,$0.00 ,$0.00 ,($0.07),$0.00 ,$0.00 ,$0.00 ,NA,NA,0.5,0.23,0.31,($5.09),($3.05),$0.00 ,0.00%,21%
African Eagle Resources plc (AIM:AFE),AIM:AFE,Metals & Mining,United Kingdom,Developed Europe,UK,1.0289,1.0289,#REF!,#REF!,2.90%,#REF!,#REF!,#REF!,#REF!,#REF!,$3.97 ,$0.00 ,$0.00 ,$0.00 ,$3.97 ,$0.94 ,$3.04 ,23.55%,0,NA,0.00%,NA,0.00%,$0.01 ,1.43,10.00%,NA,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,NA,NA,NA,NA,NA,NA,-99.52%,-159.57%,NA,NA,0.00%,53.78%,($47.00),($41.80),($40.60),($40.53),$0.00 ,$0.00 ,($12.20),($8.25),($40.53),$0.00 ,$0.43 ,($21.92),NA,($19.04),($20.31),($20.31),$42.00 ,$25.40 ,($1.79),($2.73),$0.00 ,NA,0.58,0.5,0.19,0.2,($6.95),($6.98),$0.00 ,0.60%,30%
U&I Learning N.V. (ENXTBR:UNI),ENXTBR:UNI,Educational Services,Belgium,Developed Europe,EU & Environs,0.794,0.794,#REF!,#REF!,3.10%,#REF!,#REF!,#REF!,NA,NA,$3.83 ,$0.00 ,$0.00 ,$0.00 ,$3.83 ,$0.00 ,$3.83 ,0.00%,0,NA,0.00%,NA,0.00%,$2.15 ,NA,NA,NA,0.48,1.54,132.07,132.07,NA,NA,NA,0.27,8.11,2.7,NA,0.27,0.00%,0.00%,NA,-38.60%,-0.33%,5.51%,NA,NA,NA,NA,0.21%,3.35%,50.00%,NA,$0.03 ,$0.03 ,$0.47 ,$0.47 ,$14.10 ,$14.10 ,$1.42 ,$1.42 ,$0.24 ,$0.57 ,$0.87 ,($0.63),98.73%,$0.00 ,($0.77),($0.20),$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,NA,NA,0.5,NA,NA,NA,NA,$0.00 ,0.90%,21%
Acron Genomics Inc. (OTCPK:AGNM),OTCPK:AGNM,Pharma & Drugs,United Kingdom,Developed Europe,UK,0.8303,0.8303,#REF!,#REF!,2.90%,#REF!,#REF!,#REF!,NA,NA,$0.60 ,$0.00 ,$0.00 ,$0.00 ,$0.60 ,$0.00 ,$0.60 ,0.00%,0,NA,0.00%,NA,0.00%,$0.02 ,NA,NA,NA,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,NA,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,NA,$0.00 ,$0.00 ,$0.00 ,($0.75),($0.05),$0.00 ,$0.00 ,$0.00 ,NA,NA,0.5,0.11,0.15,($2.42),($3.82),$0.00 ,0.60%,30%
7days music entertainment AG (XTRA:JWP),XTRA:JWP,Entertainment,Germany,Developed Europe,EU & Environs,0.8742,0.8742,#REF!,#REF!,2.50%,#REF!,#REF!,#REF!,#REF!,#REF!,$2.06 ,$0.00 ,$0.00 ,$0.00 ,$2.06 ,$0.00 ,$2.06 ,0.00%,0,NA,0.00%,NA,0.00%,$0.45 ,NA,NA,NA,0.72,NA,NA,NA,NA,NA,NA,0.54,NA,NA,NA,0.54,NA,0.00%,NA,NA,-0.54%,-0.63%,NA,NA,-20.71%,-27.08%,-30.29%,-47.26%,0.00%,NA,($1.16),($1.16),($1.81),($1.81),$3.83 ,$3.83 ,($1.18),($1.18),($1.81),$0.00 ,$0.00 ,($0.63),NA,($1.18),($0.53),($0.53),$5.60 ,$6.69 ,$0.00 ,$0.00 ,$0.00 ,NA,NA,0.5,0.12,0.12,($1.31),($3.14),$0.00 ,0.00%,21%
